Geo_NAME	Geo_QName	Geo_AREALAND	Geo_AREAWATR	Geo_SUMLEV	Geo_GEOCOMP	SE_T001_001
"ZCTA5 84531 (part)"	"ZCTA5 84531 (part), Arizona"	"150422616"	"237342"	"871"	"00"	20
"ZCTA5 84536 (part)"	"ZCTA5 84536 (part), Arizona"	"129779298"	"201102"	"871"	"00"	280
"ZCTA5 85003       "	"ZCTA5 85003, Arizona"	"4795027"	"0"	"871"	"00"	9369
"ZCTA5 85004       "	"ZCTA5 85004, Arizona"	"5283332"	"0"	"871"	"00"	4965
"ZCTA5 85006       "	"ZCTA5 85006, Arizona"	"10108876"	"2685"	"871"	"00"	25742
"ZCTA5 85007       "	"ZCTA5 85007, Arizona"	"11690704"	"182632"	"871"	"00"	14040
"ZCTA5 85008       "	"ZCTA5 85008, Arizona"	"27110870"	"142271"	"871"	"00"	56145
"ZCTA5 85009       "	"ZCTA5 85009, Arizona"	"40357622"	"171258"	"871"	"00"	52520
"ZCTA5 85012       "	"ZCTA5 85012, Arizona"	"5682461"	"9920"	"871"	"00"	6390
"ZCTA5 85013       "	"ZCTA5 85013, Arizona"	"9628904"	"27034"	"871"	"00"	19314
"ZCTA5 85014       "	"ZCTA5 85014, Arizona"	"10824910"	"26017"	"871"	"00"	24782
"ZCTA5 85015       "	"ZCTA5 85015, Arizona"	"12646585"	"29719"	"871"	"00"	37644
"ZCTA5 85016       "	"ZCTA5 85016, Arizona"	"23399384"	"202991"	"871"	"00"	33896
"ZCTA5 85017       "	"ZCTA5 85017, Arizona"	"13577669"	"20007"	"871"	"00"	38872
"ZCTA5 85018       "	"ZCTA5 85018, Arizona"	"28784216"	"113245"	"871"	"00"	36065
"ZCTA5 85019       "	"ZCTA5 85019, Arizona"	"9712436"	"16767"	"871"	"00"	25042
"ZCTA5 85020       "	"ZCTA5 85020, Arizona"	"23027513"	"65269"	"871"	"00"	32850
"ZCTA5 85021       "	"ZCTA5 85021, Arizona"	"17419863"	"74919"	"871"	"00"	37743
"ZCTA5 85022       "	"ZCTA5 85022, Arizona"	"24230486"	"4009"	"871"	"00"	46395
"ZCTA5 85023       "	"ZCTA5 85023, Arizona"	"18927804"	"18972"	"871"	"00"	31274
"ZCTA5 85024       "	"ZCTA5 85024, Arizona"	"72976206"	"190634"	"871"	"00"	22898
"ZCTA5 85027       "	"ZCTA5 85027, Arizona"	"36408565"	"61302"	"871"	"00"	37140
"ZCTA5 85028       "	"ZCTA5 85028, Arizona"	"25957279"	"1791"	"871"	"00"	19157
"ZCTA5 85029       "	"ZCTA5 85029, Arizona"	"24717205"	"84199"	"871"	"00"	43233
"ZCTA5 85031       "	"ZCTA5 85031, Arizona"	"10501712"	"32094"	"871"	"00"	30493
"ZCTA5 85032       "	"ZCTA5 85032, Arizona"	"32170337"	"16891"	"871"	"00"	65485
"ZCTA5 85033       "	"ZCTA5 85033, Arizona"	"15789701"	"24992"	"871"	"00"	53037
"ZCTA5 85034       "	"ZCTA5 85034, Arizona"	"29587865"	"149802"	"871"	"00"	5582
"ZCTA5 85035       "	"ZCTA5 85035, Arizona"	"14797711"	"0"	"871"	"00"	47486
"ZCTA5 85037       "	"ZCTA5 85037, Arizona"	"21200571"	"35822"	"871"	"00"	44771
"ZCTA5 85040       "	"ZCTA5 85040, Arizona"	"26352332"	"76834"	"871"	"00"	29352
"ZCTA5 85041       "	"ZCTA5 85041, Arizona"	"41109732"	"114445"	"871"	"00"	54947
"ZCTA5 85042       "	"ZCTA5 85042, Arizona"	"38929554"	"873"	"871"	"00"	40962
"ZCTA5 85043       "	"ZCTA5 85043, Arizona"	"49678326"	"9543"	"871"	"00"	30560
"ZCTA5 85044       "	"ZCTA5 85044, Arizona"	"37412960"	"47415"	"871"	"00"	37993
"ZCTA5 85045       "	"ZCTA5 85045, Arizona"	"9384025"	"22688"	"871"	"00"	7238
"ZCTA5 85048       "	"ZCTA5 85048, Arizona"	"51156859"	"115156"	"871"	"00"	33449
"ZCTA5 85050       "	"ZCTA5 85050, Arizona"	"37759457"	"110821"	"871"	"00"	25736
"ZCTA5 85051       "	"ZCTA5 85051, Arizona"	"16360814"	"129479"	"871"	"00"	40375
"ZCTA5 85053       "	"ZCTA5 85053, Arizona"	"13491929"	"741"	"871"	"00"	28480
"ZCTA5 85054       "	"ZCTA5 85054, Arizona"	"23311654"	"198420"	"871"	"00"	5384
"ZCTA5 85083       "	"ZCTA5 85083, Arizona"	"25504762"	"0"	"871"	"00"	18104
"ZCTA5 85085       "	"ZCTA5 85085, Arizona"	"66343140"	"12560"	"871"	"00"	17517
"ZCTA5 85086       "	"ZCTA5 85086, Arizona"	"151078149"	"107736"	"871"	"00"	40495
"ZCTA5 85087       "	"ZCTA5 85087, Arizona"	"194147370"	"22393"	"871"	"00"	7708
"ZCTA5 85118       "	"ZCTA5 85118, Arizona"	"412809693"	"30028"	"871"	"00"	12246
"ZCTA5 85119       "	"ZCTA5 85119, Arizona"	"114040443"	"0"	"871"	"00"	21219
"ZCTA5 85120       "	"ZCTA5 85120, Arizona"	"46272549"	"53412"	"871"	"00"	28168
"ZCTA5 85121       "	"ZCTA5 85121, Arizona"	"190170925"	"206620"	"871"	"00"	2178
"ZCTA5 85122       "	"ZCTA5 85122, Arizona"	"129556205"	"0"	"871"	"00"	50942
"ZCTA5 85123       "	"ZCTA5 85123, Arizona"	"68784574"	"194479"	"871"	"00"	10677
"ZCTA5 85128       "	"ZCTA5 85128, Arizona"	"423108085"	"4476791"	"871"	"00"	14823
"ZCTA5 85131       "	"ZCTA5 85131, Arizona"	"698441996"	"743829"	"871"	"00"	18017
"ZCTA5 85132       "	"ZCTA5 85132, Arizona"	"1564297581"	"1177600"	"871"	"00"	33556
"ZCTA5 85135       "	"ZCTA5 85135, Arizona"	"1141779"	"4026"	"871"	"00"	630
"ZCTA5 85137       "	"ZCTA5 85137, Arizona"	"535529065"	"3296248"	"871"	"00"	2329
"ZCTA5 85138       "	"ZCTA5 85138, Arizona"	"191824823"	"294210"	"871"	"00"	33633
"ZCTA5 85139       "	"ZCTA5 85139, Arizona"	"500871522"	"80003"	"871"	"00"	17979
"ZCTA5 85140       "	"ZCTA5 85140, Arizona"	"86861807"	"0"	"871"	"00"	36711
"ZCTA5 85141       "	"ZCTA5 85141, Arizona"	"108615327"	"106826"	"871"	"00"	515
"ZCTA5 85142       "	"ZCTA5 85142, Arizona"	"183833102"	"125610"	"871"	"00"	48870
"ZCTA5 85143       "	"ZCTA5 85143, Arizona"	"93126327"	"0"	"871"	"00"	35015
"ZCTA5 85145       "	"ZCTA5 85145, Arizona"	"57566201"	"8799"	"871"	"00"	2106
"ZCTA5 85147       "	"ZCTA5 85147, Arizona"	"184693008"	"90"	"871"	"00"	4543
